time,day,N,S,E,W
14,0,11,9,14,10
6,1,5,5,8,5
5,0,5,9,14,13
9,1,27,25,23,27
0,0,14,11,11,10
1,1,6,7,6,5
22,1,5,5,5,5
22,0,5,10,5,5
21,1,6,5,5,5
2,1,5,5,7,5
23,1,5,5,5,6
0,1,5,5,5,8
15,1,5,5,5,5
18,1,21,23,25,27
5,1,10,5,7,8
1,0,15,15,8,12
18,0,29,25,28,35
19,1,29,23,29,23
18,0,35,27,29,25
3,1,5,9,8,5
9,1,25,26,27,30
6,0,15,11,15,7
14,1,7,5,5,5
5,0,6,14,7,6
8,1,23,28,26,25
15,1,6,5,9,5
15,0,11,7,9,8
3,1,5,7,5,5
21,1,5,5,5,10
8,0,31,31,25,34
2,0,5,6,5,11
21,1,5,5,5,7
4,1,5,5,7,5
0,0,15,8,6,13
3,0,15,15,12,13
9,0,35,33,26,34
14,0,9,7,10,13
15,0,11,6,9,9
7,1,23,29,28,25
6,1,8,5,5,8
14,0,15,12,7,13
4,1,5,6,7,8
17,1,22,26,25,21
8,1,25,20,21,26
19,0,25,25,29,26
10,0,5,10,8,9
21,0,8,8,12,8
19,0,26,31,33,25
15,1,5,9,8,9
21,0,9,13,12,13
7,0,29,27,28,35
17,1,25,24,28,26
23,1,8,5,5,8
5,0,9,14,8,12
2,1,8,7,10,7
3,1,5,5,5,8
2,0,6,15,11,11
12,1,5,5,5,5
10,0,5,13,7,12
9,1,21,22,29,25
10,0,10,14,14,14
3,0,12,14,14,13
1,1,6,6,9,5
3,0,12,6,15,7
9,0,29,35,26,35
9,0,28,26,26,31
17,1,26,27,21,28
23,1,5,10,5,5
3,0,13,14,5,5
2,0,14,10,5,13
16,0,12,7,15,13
18,1,24,22,30,29
14,1,9,5,5,5
4,1,5,6,5,5
0,1,10,5,9,5
18,1,21,28,23,28
17,0,34,31,32,33
9,1,29,28,22,24
19,1,23,23,24,28
14,0,11,9,7,5
1,1,7,5,5,5
19,1,25,24,28,23
8,1,24,22,28,25
3,0,11,5,13,6
1,1,10,10,5,5
5,0,6,5,8,11
20,0,5,12,8,12
6,0,10,7,12,11
14,1,5,8,5,6
13,1,8,5,8,5
6,0,6,15,7,8
17,0,31,26,34,29
13,1,5,5,9,8
16,0,15,6,5,11
23,1,5,5,10,5
17,0,29,31,33,34
14,1,9,5,10,9
10,0,5,13,7,5
1,1,5,9,5,5
17,1,29,29,25,26
15,0,8,12,12,13
19,0,26,26,30,31
4,0,12,8,13,10
3,0,14,14,7,6
10,0,6,8,14,14
23,1,8,5,5,5
15,0,7,9,9,13
7,1,26,26,22,22
23,0,6,14,8,15
6,0,13,6,13,12
8,0,33,29,25,29
18,0,34,33,27,27
10,0,10,8,5,13
10,1,7,9,9,5
14,0,11,6,10,11
3,1,7,5,5,9
17,1,29,21,20,28
10,0,9,9,13,5
12,0,5,14,11,11
14,0,8,6,13,10
3,0,10,15,13,13
14,0,9,9,14,12
12,0,11,6,10,12
3,0,10,7,10,12
2,0,13,15,13,5
14,0,7,10,13,8
2,0,14,10,6,13
10,0,11,15,6,12
12,0,10,8,10,11
1,0,13,14,13,9
3,1,5,6,5,5
1,0,11,8,14,9
22,0,14,5,7,7
4,1,8,6,7,5
8,0,25,27,25,29
7,0,27,30,34,34
18,0,34,25,35,27
11,0,15,10,10,12
19,1,22,28,30,27
19,0,25,34,30,25
4,1,10,5,5,5
5,1,8,9,5,5
23,1,5,5,5,6
22,0,8,10,5,6
2,0,10,14,10,10
23,1,5,5,5,8
1,0,10,11,12,10
2,0,6,14,14,11
17,1,24,29,26,27
20,1,5,6,5,5
5,1,5,5,5,5
17,1,30,21,30,24
4,0,6,10,15,8
15,1,5,5,5,5
4,1,8,5,5,5
8,0,34,34,25,27
3,0,14,13,10,7
8,0,32,30,30,26
8,1,24,22,20,24
3,0,14,6,9,12
20,0,5,12,11,8
7,1,27,22,25,23
7,1,22,21,29,26
3,1,10,9,5,8
20,1,9,5,5,10
21,1,10,7,7,8
22,0,15,5,5,5
9,0,32,33,33,31
14,1,5,5,5,10
5,0,15,13,5,10
10,0,12,8,9,11
17,0,28,31,34,31
1,1,5,5,5,5
5,1,5,5,8,5
15,0,10,10,13,9
14,1,5,7,8,5
2,0,9,5,5,11
19,1,25,23,23,30
17,1,22,24,21,21
23,1,5,6,10,9
5,0,10,9,15,8
1,1,6,10,5,5
8,1,21,30,27,20
13,0,8,11,11,13
2,1,9,5,5,5
8,1,21,21,29,20
15,0,5,8,12,7
14,1,7,9,5,5
4,1,8,10,5,10
12,0,13,9,10,11
